record_id,timestamp,category,subcategory,city,device,channel,age,score,amount,is_member,note
1,2024/2/2 13:50,D,X2,Osaka,desktop,ads,28,74.02,1158,TRUE,bold_robot
2,2024/10/9 11:51,E,X1,Tokyo,mobile,organic,36,57.46,3267,FALSE,fuzzy_bridge
3,2024/8/26 22:02,B,X3,Nagoya,mobile,organic,70,48.25,2745,TRUE,fuzzy_fox
4,2024/6/9 4:34,B,X2,Tokyo,mobile,social,19,83.84,700,FALSE,silent_robot
5,2024/6/7 1:12,D,X4,Tokyo,mobile,organic,20,67.39,3307,FALSE,quick_sensor
6,2024/11/9 9:19,C,X3,Osaka,desktop,organic,33,62.25,1492,FALSE,quick_dataset
7,2024/2/1 8:53,D,X4,Nagoya,mobile,organic,53,54.76,2145,TRUE,quick_fox
8,2024/9/11 12:56,C,X2,Fukuoka,mobile,social,67,60.95,3787,FALSE,bright_tunnel
9,2024/3/14 12:52,A,X1,Fukuoka,desktop,email,50,61.44,1576,TRUE,bold_tunnel
10,2024/2/4 8:59,D,X1,Fukuoka,mobile,ads,46,17.26,1562,TRUE,quick_robot
11,2024/7/11 3:57,A,X2,Sapporo,mobile,social,71,55.92,3051,FALSE,bright_sensor
12,2024/12/22 2:27,A,X2,Sapporo,desktop,organic,24,47.59,4631,FALSE,fuzzy_robot
13,2024/9/25 13:11,C,X4,Tokyo,desktop,social,73,42.5,2927,FALSE,quick_bridge
14,2024/10/4 19:35,D,X2,Nagoya,mobile,organic,33,47.07,1624,FALSE,fuzzy_bridge
15,2024/9/18 21:06,E,X4,Tokyo,tablet,organic,31,26.66,4296,TRUE,bright_bridge
16,2024/10/13 21:55,B,X1,Tokyo,desktop,organic,76,22.93,2663,FALSE,calm_sensor
17,2024/7/6 7:51,A,X2,Tokyo,desktop,social,56,68.7,5323,TRUE,bright_fox
18,2024/2/16 18:16,E,X4,Fukuoka,mobile,social,41,56.93,6303,FALSE,fuzzy_robot
19,2024/11/2 12:11,A,X1,Sapporo,desktop,ads,35,13.8,2892,FALSE,calm_tunnel
20,2024/6/13 9:22,A,X2,Kobe,desktop,organic,42,41.35,5067,TRUE,bold_sensor
21,2024/7/1 15:04,B,X4,Kobe,mobile,organic,66,63.21,5172,FALSE,fuzzy_dataset
22,2024/5/15 8:11,C,X3,Fukuoka,tablet,ads,23,45.8,1928,TRUE,fuzzy_tunnel
23,2024/3/7 15:08,E,X4,Tokyo,tablet,organic,24,68.68,5170,FALSE,bright_dataset
24,2024/12/4 6:27,D,X3,Fukuoka,mobile,organic,33,65.75,2222,TRUE,bold_tunnel
25,2024/10/12 6:31,D,X4,Fukuoka,desktop,referral,45,29.65,3536,FALSE,silent_bridge
26,2024/8/23 0:15,A,X4,Fukuoka,mobile,referral,67,47.85,2055,TRUE,silent_fox
27,2024/5/26 21:08,B,X4,Tokyo,desktop,social,27,43.28,510,FALSE,bold_tunnel
28,2024/10/27 7:23,C,X1,Tokyo,desktop,ads,65,29.16,7538,TRUE,bright_tunnel
29,2024/7/18 1:57,A,X3,Kobe,mobile,organic,73,28.19,3437,FALSE,fuzzy_tunnel
30,2024/6/10 20:18,B,X1,Tokyo,mobile,ads,,37.91,3656,FALSE,quick_sensor
31,2024/6/13 10:01,B,X1,Osaka,mobile,organic,77,40.39,2390,TRUE,bright_bridge
32,2024/3/23 22:36,A,X2,Osaka,tablet,referral,72,54.25,5145,TRUE,fuzzy_robot
33,2024/2/3 15:06,C,X3,Tokyo,mobile,email,66,65.66,1893,FALSE,fuzzy_fox
34,2024/7/21 10:09,D,X2,Tokyo,desktop,organic,38,57.7,1994,FALSE,silent_fox
35,2024/11/20 1:54,A,X4,Kobe,mobile,organic,33,61.26,819,FALSE,quick_robot
36,2024/1/24 7:02,C,X2,Fukuoka,mobile,social,70,46,2580,TRUE,fuzzy_tunnel
37,2024/11/9 6:37,D,X3,,tablet,ads,42,59.05,4967,FALSE,bright_robot
38,2024/10/29 2:02,D,X4,Tokyo,desktop,ads,15,,1912,FALSE,calm_fox
39,2024/4/11 0:24,D,X4,Tokyo,mobile,referral,61,43.38,715,FALSE,quick_bridge
40,2024/8/18 13:22,B,X1,Osaka,mobile,ads,36,78.46,4268,TRUE,bold_robot
41,2024/3/1 7:24,D,X3,Osaka,mobile,organic,75,15.04,3072,TRUE,bright_sensor
42,2024/10/3 16:50,A,X1,Tokyo,mobile,email,70,21.9,6950,FALSE,silent_bridge
